model_code,part_number,model_identifier,release,model_number,cpu,emc,size,color
# A1369
A1369,661-5732,MacBookAir3.2,Late 2010,MC503LL/A,1.86 GHz Intel Core 2 Duo SL9400,2392,13,Silver
A1369,661-5732,MacBookAir3.2,Late 2010,MC504LL/A,1.86 GHz Intel Core 2 Duo SL9400,2392,13,Silver
A1369,661-5732,MacBookAir3.2,Late 2010,MC905LL/A,2.13 GHz Intel Core 2 Duo SL9600,2392,13,Silver
A1369,661-6056,MacBookAir4.2,Mid 2011,MC965LL/A,1.7 GHz Intel Core i5-2557M,2469,13,Silver
A1369,661-6056,MacBookAir4.2,Mid 2011,MC966LL/A,1.7 GHz Intel Core i5-2557M,2469,13,Silver
A1369,661-6056,MacBookAir4.2,Mid 2011,MD226LL/A,1.8 GHz Intel Core i7-2677M,2469,13,Silver
# A1398
A1398,661-6529,MacBookPro10.1,Mid 2012,MC975LL/A,2.3 GHz Intel Core i7-3615QM,2512,15,Silver
A1398,661-6529,MacBookPro10.1,Mid 2012,MC976LL/A,2.6 GHz Intel Core i7-3720QM,2512,15,Silver
A1398,661-6529,MacBookPro10.1,Mid 2012,MD831LL/A,2.7 GHz Intel Core i7-3820QM,2512,15,Silver
A1398,661-8310,MacBookPro11.2,Late 2013,ME293LL/A,2.0 GHz Intel Core i7-4750HQ,2674,15,Silver
A1398,661-8310,MacBookPro11.3,Late 2013,ME294LL/A,2.3 GHz Intel Core i7-4850HQ,2745,15,Silver
A1398,661-8310,MacBookPro11.2,Late 2013,BTO,2.3 GHz Intel Core i7-4850HQ,2674,15,Silver
A1398,661-8310,MacBookPro11.3,Late 2013,ME874LL/A,2.6 GHz Intel Core i7-4960HQ,2745,15,Silver
A1398,661-8310,MacBookPro11.2,Late 2013,BTO,2.6 GHz Intel Core i7-4960HQ,2674,15,Silver
A1398,661-8310,MacBookPro11.2,Mid 2014,MGXA2LL/A,2.2 GHz Intel Core i7-4770HQ,2876,15,Silver
A1398,661-8310,MacBookPro11.2,Mid 2014,MGXC2LL/A,2.5 GHz Intel Core i7-4870HQ,2881,15,Silver
A1398,661-8310,MacBookPro11.2,Mid 2014,BTO,2.5 GHz Intel Core i7-4870HQ,2876,15,Silver
A1398,661-8310,MacBookPro11.3,Mid 2014,MGXG2LL/A,2.8 GHz Intel Core i7-4980HQ,2881,15,Silver
A1398,661-8310,MacBookPro11.3,Mid 2014,BTO,2.8 GHz Intel Core i7-4980HQ,2881,15,Silver
A1398,661-02532,MacBookPro11.4,Mid 2015,MJLQ2LL/A,2.2 GHz Intel Core i7-4770HQ,2909,15,Silver
A1398,661-02532,MacBookPro11.4,Mid 2015,BTO,2.5 GHz Intel Core i7-4870HQ,2909,15,Silver
A1398,661-02532,MacBookPro11.4,Mid 2015,MJLT2LL/A,2.5 GHz Intel Core i7-4870HQ,2909,15,Silver
A1398,661-02532,MacBookPro11.4,Mid 2015,MJLQ2LL/A,2.8 GHz Intel Core i7-4980HQ,2909,15,Silver
A1398,661-02532,MacBookPro11.4,Mid 2015,BTO,2.8 GHz Intel Core i7-4980HQ,2909,15,Silver
A1398,661-02532,MacBookPro11.5,Mid 2015,MJLT2LL/A,2.5 GHz Intel Core i7-4870HQ,2910,15,Silver
A1398,661-02532,MacBookPro11.5,Mid 2015,BTO,2.8 GHz Intel Core i7-4980HQ,2910,15,Silver
# A1425
A1425,661-7014,MacBookPro10.2,Late 2012,MD212LL/A,2.5 GHz Intel Core i5-3210M,2557,13,Silver
A1425,661-7014,MacBookPro10.2,Late 2012,MD213LL/A,2.5 GHz Intel Core i5-3210M,2557,13,Silver
A1425,661-7014,MacBookPro10.2,Late 2012,ME116LL/A,2.9 GHz Intel Core i7-3210M,2557,13,Silver
A1425,661-7014,MacBookPro10.2,Early 2013,ME662LL/A,2.6 GHz Intel Core i5-3230M,2672,13,Silver
A1425,661-7014,MacBookPro10.2,Early 2013,BTO,3.0 GHz Intel Core i7-3540M,2672,13,Silver
# A1465
A1465,661-6624,MacBookAir5.1,Mid 2012,MD223LL/A,1.7 GHz Intel Core i5-3317U,2558,11,Silver
A1465,661-6624,MacBookAir5.1,Mid 2012,MD224LL/A,1.7 GHz Intel Core i5-3317U,2558,11,Silver
A1465,661-6624,MacBookAir5.1,Mid 2012,MD845LL/A,2.0 GHz Intel Core i7-3667U,2558,11,Silver
A1465,661-7468,MacBookAir6.1,Mid 2013,MD711LL/A,1.3 GHz Intel Core i5-4250U,2631,11,Silver
A1465,661-7468,MacBookAir6.1,Mid 2013,MD712LL/A,1.3 GHz Intel Core i5-4250U,2631,11,Silver
A1465,661-7468,MacBookAir6.1,Mid 2013,BTO,1.7 GHz Intel Core i5-4250U,2631,11,Silver
A1465,661-7468,MacBookAir6.1,Early 2014,MD711LL/B,1.4 GHz Intel Core i5-4260U,2631,11,Silver
A1465,661-7468,MacBookAir6.1,Early 2014,MD712LL/B,1.4 GHz Intel Core i5-4260U,2631,11,Silver
A1465,661-7468,MacBookAir6.1,Early 2014,MF067LL/A,1.7 GHz Intel Core i7-4650U,2631,11,Silver
A1465,661-02345,MacBookAir7.1,Early 2015,MJVM2LL/A,1.6 GHz Intel Core i5-5250U,2924,11,Silver
A1465,661-02345,MacBookAir7.1,Early 2015,MJVP2LL/A,1.6 GHz Intel Core i5-5250U,2924,11,Silver
A1465,661-02345,MacBookAir7.1,Early 2015,BTO,2.2 GHz Intel Core i7-5250U,2924,11,Silver
# A1466
A1466,661-6630,MacBookAir5.2,Mid 2012,MD231LL/A,1.8 GHz Intel Core i5-3427U,2559,13,Silver
A1466,661-6630,MacBookAir5.2,Mid 2012,MD846LL/A,2.0 GHz Intel Core i7-3667U,2559,13,Silver
A1466,661-7475,MacBookAir6.2,Mid 2013,MD760LL/A,1.3 GHz Intel Core i5-4250U,2632,13,Silver
A1466,661-7475,MacBookAir6.2,Mid 2013,MD761LL/A,1.3 GHz Intel Core i5-4250U,2632,13,Silver
A1466,661-7475,MacBookAir6.2,Mid 2013,BTO,1.7 GHz Intel Core i7-4650U,2632,13,Silver
A1466,661-7475,MacBookAir6.2,Early 2014,MD760LL/B,1.4 GHz Intel Core i5-4260U,2632,13,Silver
A1466,661-7475,MacBookAir6.2,Early 2014,MD761LL/B,1.4 GHz Intel Core i5-4260U,2632,13,Silver
A1466,661-7475,MacBookAir6.2,Early 2014,MF068LL/A,1.7 GHz Intel Core i7-4650U,2632,13,Silver
A1466,661-02397,MacBookAir7.2,Early 2015,MJVE2LL/A,1.6 GHz Intel Core i5-5250U,2925,13,Silver
A1466,661-02397,MacBookAir7.2,Early 2015,MJVG2LL/A,1.6 GHz Intel Core i5-5250U,2925,13,Silver
A1466,661-02397,MacBookAir7.2,Early 2015,MMGF2LL/A,1.6 GHz Intel Core i5-5250U,2925,13,Silver
A1466,661-02397,MacBookAir7.2,Early 2015,MMGG2LL/A,1.6 GHz Intel Core i5-5250U,2925,13,Silver
A1466,661-02397,MacBookAir7.2,Early 2015,BTO,2.2 GHz Intel Core i7-5650U,2925,13,Silver
A1466,661-02397,MacBookAir7.2,Mid 2017,MQD32LL/A,1.8 GHz Intel Core i5-5350U,3178,13,Silver
A1466,661-02397,MacBookAir7.2,Mid 2017,MQD42LL/A,1.8 GHz Intel Core i5-5350U,3178,13,Silver
A1466,661-02397,MacBookAir7.2,Mid 2017,Z0UU1LL/A,2.2 GHz Intel Core i7-5650U,3178,13,Silver
# A1502
A1502,661-8153,MacBookPro11.1,Late 2013,ME864LL/A,2.4 GHz Intel Core i5-4258U,2678,13,Silver
A1502,661-8153,MacBookPro11.1,Late 2013,ME865LL/A,2.4 GHz Intel Core i5-4258U,2678,13,Silver
A1502,661-8153,MacBookPro11.1,Late 2013,ME866LL/A,2.6 GHz Intel Core i5-4288U,2678,13,Silver
A1502,661-8153,MacBookPro11.1,Late 2013,ME867LL/A,2.8 GHz Intel Core i7-4558U,2678,13,Silver
A1502,661-8153,MacBookPro11.1,Mid 2014,MGX72LL/A,2.6 GHz Intel Core i5-4278U,2875,13,Silver
A1502,661-8153,MacBookPro11.1,Mid 2014,MGX82LL/A,2.6 GHz Intel Core i5-4278U,2875,13,Silver
A1502,661-8153,MacBookPro11.1,Mid 2014,MGX92LL/A,2.8 GHz Intel Core i5-4308U,2875,13,Silver
A1502,661-8153,MacBookPro11.1,Mid 2014,MGXD2LL/A,3.0 GHz Intel Core i7-4578U,2875,13,Silver
A1502,661-02360,MacBookPro12.1,Early 2015,MF839LL/A,2.7 GHz Intel Core i5-5257U,2835,13,Silver
A1502,661-02360,MacBookPro12.1,Early 2015,MF840LL/A,2.7 GHz Intel Core i5-5257U,2835,13,Silver
A1502,661-02360,MacBookPro12.1,Early 2015,MF841LL/A,2.9 GHz Intel Core i5-5287U,2835,13,Silver
A1502,661-02360,MacBookPro12.1,Early 2015,MF843LL/A,3.1 GHz Intel Core i7-3557U,2835,13,Silver
# A1534
A1534,661-02241,MacBook8.1,Early 2015,MF855LL/A,1.1 GHz Intel Core M-5Y31,2746,12,Silver
A1534,661-02241,MacBook8.1,Early 2015,MF865LL/A,1.2 GHz Intel Core M-5Y51,2746,12,Silver
A1534,661-02241,MacBook8.1,Early 2015,BTO,1.3 GHz Intel Core M-5Y71,2746,12,Silver
A1534,661-02248,MacBook8.1,Early 2015,MK4M2LL/A,1.1 GHz Intel Core M-5Y31,2746,12,Gold
A1534,661-02248,MacBook8.1,Early 2015,MK4N2LL/A,1.2 GHz Intel Core M-5Y51,2746,12,Gold
A1534,661-02248,MacBook8.1,Early 2015,BTO,1.3 GHz Intel Core M-5Y71,2746,12,Gold
A1534,661-02266,MacBook8.1,Early 2015,MJY32LL/A,1.1 GHz Intel Core M-5Y31,2746,12,Space Gray
A1534,661-02266,MacBook8.1,Early 2015,MJY42LL/A,1.2 GHz Intel Core M-5Y51,2746,12,Space Gray
A1534,661-02266,MacBook8.1,Early 2015,BTO,1.3 GHz Intel Core M-5Y71,2746,12,Space Gray
A1534,661-04744,MacBook9.1,Early 2016,MLHA2LL/A,1.1 GHz Intel Core M3-6Y30,2991,12,Silver
A1534,661-04744,MacBook9.1,Early 2016,MLHC2LL/A,1.2 GHz Intel Core M5-6Y54,2991,12,Silver
A1534,661-04744,MacBook9.1,Early 2016,BTO,1.3 GHz Intel Core M7-6Y75,2991,12,Silver
A1534,661-04745,MacBook9.1,Early 2016,MLHE2LL/A,1.1 GHz Intel Core M3-6Y30,2991,12,Gold
A1534,661-04745,MacBook9.1,Early 2016,MLHF2LL/A,1.2 GHz Intel Core M5-6Y54,2991,12,Gold
A1534,661-04745,MacBook9.1,Early 2016,BTO,1.3 GHz Intel Core M7-6Y75,2991,12,Gold
A1534,661-04746,MacBook9.1,Early 2016,MLH72LL/A,1.1 GHz Intel Core M3-6Y30,2991,12,Space Gray
A1534,661-04746,MacBook9.1,Early 2016,MLH82LL/A,1.2 GHz Intel Core M5-6Y54,2991,12,Space Gray
A1534,661-04746,MacBook9.1,Early 2016,BTO,1.3 GHz Intel Core M7-6Y75,2991,12,Space Gray
A1534,661-04852,MacBook9.1,Early 2016,MMGL2LL/A,1.1 GHz Intel Core M3-6Y30,2991,12,Rose Gold
A1534,661-04852,MacBook9.1,Early 2016,MMGM2LL/A,1.2 GHz Intel Core M5-6Y54,2991,12,Rose Gold
A1534,661-04852,MacBook9.1,Early 2016,BTO,1.3 GHz Intel Core M7-6Y75,2991,12,Rose Gold
A1534,661-06785,MacBook10.1,Mid 2017,MNYF2LL/A,1.2 GHz Intel Core M3-7Y32,3099,12,Space Gray
A1534,661-06785,MacBook10.1,Mid 2017,MNYG2LL/A,1.3 GHz Intel Core i5-7Y54,3099,12,Space Gray
A1534,661-06785,MacBook10.1,Mid 2017,BTO,1.4 GHz Intel Core i7-7Y75,3099,12,Space Gray
A1534,661-06786,MacBook10.1,Mid 2017,MNYH2LL/A,1.2 GHz Intel Core M3-7Y32,3099,12,Silver
A1534,661-06786,MacBook10.1,Mid 2017,MNYJ2LL/A,1.3 GHz Intel Core i5-7Y54,3099,12,Silver
A1534,661-06786,MacBook10.1,Mid 2017,BTO,1.4 GHz Intel Core i7-7Y75,3099,12,Silver
A1534,661-06787,MacBook10.1,Mid 2017,MNYK2LL/A,1.2 GHz Intel Core M3-7Y32,3099,12,Gold
A1534,661-06787,MacBook10.1,Mid 2017,MNYL2LL/A,1.3 GHz Intel Core i5-7Y54,3099,12,Gold
A1534,661-06787,MacBook10.1,Mid 2017,BTO,1.4 GHz Intel Core i7-7Y75,3099,12,Gold
A1534,661-06788,MacBook10.1,Mid 2017,MNYM2LL/A,1.2 GHz Intel Core M3-7Y32,3099,12,Rose Gold
A1534,661-06788,MacBook10.1,Mid 2017,MNYN2LL/A,1.3 GHz Intel Core i5-7Y54,3099,12,Rose Gold
A1534,661-06788,MacBook10.1,Mid 2017,BTO,1.4 GHz Intel Core i7-7Y75,3099,12,Rose Gold
# A1706
A1706,661-05323,MacBookPro13.2,Late 2016,MLH12LL/A,2.9 GHz Intel Core i5-6267U,3071,13,Space Gray
A1706,661-05323,MacBookPro13.2,Late 2016,MNQF2LL/A,2.9 GHz Intel Core i5-6267U,3071,13,Space Gray
A1706,661-05323,MacBookPro13.2,Late 2016,BTO,3.1 GHz Intel Core i5-6287U,3071,13,Space Gray
A1706,661-05323,MacBookPro13.2,Late 2016,BTO,3.3 GHz Intel Core i7-6567U,3071,13,Space Gray
A1706,661-05324,MacBookPro13.2,Late 2016,MLVP2LL/A,2.9 GHz Intel Core i5-6267U,3071,13,Silver
A1706,661-05324,MacBookPro13.2,Late 2016,MNQG2LL/A,2.9 GHz Intel Core i5-6267U,3071,13,Silver
A1706,661-05324,MacBookPro13.2,Late 2016,BTO,3.1 GHz Intel Core i5-6287U,3071,13,Silver
A1706,661-05324,MacBookPro13.2,Late 2016,BTO,3.3 GHz Intel Core i7-6567U,3071,13,Silver
A1706,661-07970,MacBookPro14.2,Mid 2017,MPXV2LL/A,3.1 GHz Intel Core i5-7267U,3163,13,Space Gray
A1706,661-07970,MacBookPro14.2,Mid 2017,MPXW2LL/A,3.1 GHz Intel Core i5-7267U,3163,13,Space Gray
A1706,661-07970,MacBookPro14.2,Mid 2017,BTO,3.3 GHz Intel Core i5-7287U,3163,13,Space Gray
A1706,661-07970,MacBookPro14.2,Mid 2017,BTO,3.5 GHz Intel Core i7-7567U,3163,13,Space Gray
A1706,661-07971,MacBookPro14.2,Mid 2017,MPXV2LL/A,3.1 GHz Intel Core i5-7267U,3163,13,Silver
A1706,661-07971,MacBookPro14.2,Mid 2017,MPXW2LL/A,3.1 GHz Intel Core i5-7267U,3163,13,Silver
A1706,661-07971,MacBookPro14.2,Mid 2017,BTO,3.3 GHz Intel Core i5-7287U,3163,13,Silver
A1706,661-07971,MacBookPro14.2,Mid 2017,BTO,3.5 GHz Intel Core i7-7567U,3163,13,Silver
# A1707
A1707,661-06375,MacBookPro13.3,Late 2016,MLH32LL/A,2.6 GHz Intel Core i7-6700HQ,3072,15,Space Gray
A1707,661-06375,MacBookPro13.3,Late 2016,MLH42LL/A,2.7 GHz Intel Core i7-6820HQ,3072,15,Space Gray
A1707,661-06375,MacBookPro13.3,Late 2016,BTO,2.9 GHz Intel Core i7-6920HQ,3072,15,Space Gray
A1707,661-06376,MacBookPro13.3,Late 2016,MLW72LL/A,2.6 GHz Intel Core i7-6700HQ,3072,15,Silver
A1707,661-06376,MacBookPro13.3,Late 2016,MLW82LL/A,2.7 GHz Intel Core i7-6820HQ,3072,15,Silver
A1707,661-06376,MacBookPro13.3,Late 2016,BTO,2.9 GHz Intel Core i7-6920HQ,3072,15,Silver
A1707,661-08030,MacBookPro14.3,Mid 2017,MPTR2LL/A,2.8 GHz Intel Core i7-7700HQ,3162,15,Space Gray
A1707,661-08030,MacBookPro14.3,Mid 2017,MPTT2LL/A,2.9 GHz Intel Core i7-7820HQ,3162,15,Space Gray
A1707,661-08030,MacBookPro14.3,Mid 2017,BTO,3.1 GHz Intel Core i7-7920HQ,3162,15,Space Gray
A1707,661-08031,MacBookPro14.3,Mid 2017,MPTU2LL/A,2.8 GHz Intel Core i7-7700HQ,3162,15,Silver
A1707,661-08031,MacBookPro14.3,Mid 2017,MPTV2LL/A,2.9 GHz Intel Core i7-7820HQ,3162,15,Silver
A1707,661-08031,MacBookPro14.3,Mid 2017,BTO,3.1 GHz Intel Core i7-7920HQ,3162,15,Silver
# A1708
A1708,661-05095,MacBookPro13.1,Late 2016,MLL42LL/A,2.0 GHz Core i5-6360U,2978,13,Space Gray
A1708,661-05095,MacBookPro13.1,Late 2016,BTO,2.4 GHz Core i7-6660U,2978,13,Space Gray
A1708,661-05095,MacBookPro14.1,Mid 2017,MPXQ2LL/A,2.3 GHz Core i5-7360U,3164,13,Space Gray
A1708,661-05095,MacBookPro14.1,Mid 2017,MPXT2LL/A,2.3 GHz Core i5-7360U,3164,13,Space Gray
A1708,661-05095,MacBookPro14.1,Mid 2017,BTO,2.5 GHz Core i7-7660U,3164,13,Space Gray
A1708,661-05096,MacBookPro13.1,Late 2016,MLUQ2LL/A,2.0 GHz Core i5-6360U,2978,13,Silver
A1708,661-05096,MacBookPro13.1,Late 2016,BTO,2.4 GHz Core i7-6660U,2978,13,Silver
A1708,661-05096,MacBookPro14.1,Mid 2017,MPXR2LL/A,2.3 GHz Core i5-7360U,3164,13,Silver
A1708,661-05096,MacBookPro14.1,Mid 2017,MPXU2LL/A,2.3 GHz Core i5-7360U,3164,13,Silver
A1708,661-05096,MacBookPro14.1,Mid 2017,BTO,2.5 GHz Core i7-7660U,3164,13,Silver
# A1932
A1932,661-09733,MacBookAir8.1,Late 2018,MRE82LL/A,1.6 GHz Intel Core i5-8210Y,3184,13,Space Gray
A1932,661-09733,MacBookAir8.1,Late 2018,MRE92LL/A,1.6 GHz Intel Core i5-8210Y,3184,13,Space Gray
A1932,661-09734,MacBookAir8.1,Late 2018,MREA2LL/A,1.6 GHz Intel Core i5-8210Y,3184,13,Silver
A1932,661-09734,MacBookAir8.1,Late 2018,MREC2LL/A,1.6 GHz Intel Core i5-8210Y,3184,13,Silver
A1932,661-09735,MacBookAir8.1,Late 2018,MREE2LL/A,1.6 GHz Intel Core i5-8210Y,3184,13,Gold
A1932,661-09735,MacBookAir8.1,Late 2018,MREF2LL/A,1.6 GHz Intel Core i5-8210Y,3184,13,Gold
A1932,661-12586,MacBookAir8.2,Mid 2019,MVFH2LL/A,1.6 GHz Intel Core i5-8210Y,3184,13,Space Gray
A1932,661-12586,MacBookAir8.2,Mid 2019,MVFJ2LL/A,1.6 GHz Intel Core i5-8210Y,3184,13,Space Gray
A1932,661-12587,MacBookAir8.2,Mid 2019,MVFK2LL/A,1.6 GHz Intel Core i5-8210Y,3184,13,Silver
A1932,661-12587,MacBookAir8.2,Mid 2019,MVFL2LL/A,1.6 GHz Intel Core i5-8210Y,3184,13,Silver
A1932,661-12588,MacBookAir8.2,Mid 2019,MVFM2LL/A,1.6 GHz Intel Core i5-8210Y,3184,13,Gold
A1932,661-12588,MacBookAir8.2,Mid 2019,MVFN2LL/A,1.6 GHz Intel Core i5-8210Y,3184,13,Gold
# A1989/A2159
A1989,661-10037,MacBookPro15.2,Mid 2018,MR9Q2LL/A,2.3 GHz Intel Core i5-8259U,3214,13,Space Gray
A1989,661-10037,MacBookPro15.2,Mid 2018,MR9R2LL/A,2.3 GHz Intel Core i5-8259U,3214,13,Space Gray
A1989,661-10037,MacBookPro15.2,Mid 2018,BTO,2.7 GHz Intel Core i7-8559U,3214,13,Space Gray
A1989,661-10357,MacBookPro15.2,Mid 2018,MR9U2LL/A,2.3 GHz Intel Core i5-8259U,3214,13,Silver
A1989,661-10357,MacBookPro15.2,Mid 2018,MR9V2LL/A,2.3 GHz Intel Core i5-8259U,3214,13,Silver
A1989,661-10357,MacBookPro15.2,Mid 2018,BTO,2.7 GHz Intel Core i7-8559U,3214,13,Silver
A1989/A2159,661-12829,MacBookPro15.2,Mid 2019,MV962LL/A,2.4 GHz Intel Core i5-8279U,3358,13,Space Gray
A1989/A2159,661-12829,MacBookPro15.2,Mid 2019,MV972LL/A,2.4 GHz Intel Core i5-8279U,3358,13,Space Gray
A1989/A2159,661-12829,MacBookPro15.2,Mid 2019,BTO,2.8 GHz Intel Core i7-8569U,3358,13,Space Gray
A1989/A2159,661-12830,MacBookPro15.2,Mid 2019,MV962LL/A,2.4 GHz Intel Core i5-8279U,3358,13,Silver
A1989/A2159,661-12830,MacBookPro15.2,Mid 2019,MV972LL/A,2.4 GHz Intel Core i5-8279U,3358,13,Silver
A1989/A2159,661-12830,MacBookPro15.2,Mid 2019,BTO,2.8 GHz Intel Core i7-8569U,3358,13,Silver
# A1990
